trigger,trigger_kind,trigger_support,n_expected_diagnoses,top_expected_diagnosis,top_confidence
PROC_9_5491,procedure,3267,25,DX_9_78959,0.5748393021120294
MED_VITAMIN_D3_CHOLECALCIFEROL,medication,3264,25,DX_10_Z20822,0.6115196078431373
MED_0_83_SODIUM_CHLORIDE,medication,3213,17,DX_10_I10,0.3392468098350451
PROC_10_B211YZZ,procedure,3188,25,DX_10_E785,0.6248431618569636
PROC_10_5A1D70Z,procedure,3172,25,DX_10_N186,0.8171500630517023
MED_TIMOLOL_MALEATE_0_5,medication,3152,20,DX_10_E785,0.2661802030456853
PROC_10_5A1945Z,procedure,3144,25,DX_10_J9601,0.44306615776081426
MED_LINEZOLID,medication,3131,25,DX_9_4019,0.17055253912488022
MED_YELLOW_CADD_CASSETTE,medication,3130,11,DX_10_I10,0.2303514376996805
MED_GLIPIZIDE,medication,3118,22,DX_9_25000,0.40378447722899297
MED_MOUTH_CARE_ORAL_RINSE,medication,3087,25,DX_10_D62,0.6971169420149012
MED_INSULIN_REGULAR_FOR_HYPERKALEMIA,medication,3064,25,DX_10_E875,0.679177545691906
MED_NAPROXEN,medication,3044,13,DX_9_4019,0.27628120893561103
MED_DAPTOMYCIN,medication,3036,25,DX_10_E785,0.16963109354413702
PROC_9_0045,procedure,3021,24,DX_9_41401,0.7192982456140351
MED_BUSPIRONE,medication,3008,20,DX_10_F419,0.3357712765957447
MED_GUAIFENESIN_CODEINE_PHOSPHATE,medication,2977,20,DX_9_4019,0.20725562646960027
MED_FLUTICASONE_SALMETEROL_DISKUS_100_50,medication,2968,24,DX_10_E785,0.2503369272237197
MED_ARTIFICIAL_TEAR_OINTMENT,medication,2964,25,DX_10_E785,0.2125506072874494
MED_PHENAZOPYRIDINE,medication,2943,13,DX_10_I10,0.20761128100577642
MED_TUBERCULIN_PROTEIN,medication,2931,20,DX_9_5856,0.1750255885363357
PROC_9_0331,procedure,2915,16,DX_9_4019,0.3399656946826758
MED_MULTIVITAMIN_IV,medication,2910,11,DX_9_4019,0.24398625429553264
PROC_9_9672,procedure,2884,25,DX_9_51881,0.5880721220527045
MED_POTASSIUM_CHLORIDE_REPLACEMENT_ONCOLOGY,medication,2874,25,DX_9_4019,0.4175365344467641
MED_ARTIFICIAL_TEARS_PRESERV_FREE,medication,2870,21,DX_10_E785,0.2313588850174216
MED_PROPRANOLOL,medication,2869,11,DX_10_I10,0.20808644126873474
MED_5_DEXTROSE_EXCEL_BAG,medication,2806,25,DX_9_42731,0.47612259444048466
PROC_10_5A1955Z,procedure,2804,25,DX_10_J9601,0.5235378031383737
MED_POTASSIUM_CHL_40_MEQ_1000_ML_D5_1_2_NS,medication,2792,12,DX_9_4019,0.23710601719197708
MED_OXYMETAZOLINE,medication,2785,25,DX_10_E785,0.21149012567324954
MED_SODIUM_CITRATE_4,medication,2748,25,DX_10_E872,0.30531295487627363
MED_CARBIDOPA_LEVODOPA_25_100,medication,2736,25,DX_10_G20,0.3972953216374269
MED_DIVALPROEX_DELAYED_RELEASE,medication,2701,16,DX_10_I10,0.19400222139948167
MED_DULOXETINE_DR,medication,2697,25,DX_10_E785,0.4456803856136448
MED_NORTRIPTYLINE,medication,2687,16,DX_10_E785,0.2065500558243394
MED_MONTELUKAST_SODIUM,medication,2680,20,DX_9_4019,0.44216417910447764
MED_DORZOLAMIDE_2_TIMOLOL_0_5_OPHTH,medication,2676,22,DX_10_E785,0.2798953662182362
MED_VERAPAMIL_SR,medication,2659,17,DX_9_4019,0.3956374576908612
MED_NICOTINE_POLACRILEX,medication,2654,13,DX_10_F17210,0.26337603617181615
MED_VALGANCICLOVIR,medication,2653,25,DX_10_Z87891,0.1831888428194497
MED_ALBUMIN_5,medication,2644,25,DX_10_D62,0.45385779122541603
MED_ERYTHROMYCIN_0_5_OPHTH_OINT,medication,2634,14,DX_9_4019,0.19438116932422173
MED_BUPROPION,medication,2601,18,DX_9_311,0.2314494425221069
PROC_9_8872,procedure,2562,25,DX_9_4019,0.45120999219359875
PROC_9_741,procedure,2557,15,DX_9_V270,0.9315604223699648
PROC_9_3324,procedure,2551,25,DX_9_51881,0.38141905135241083
MED_GASTROVIEW_DIATRIZOATE_MEGLUMINE_SODIUM,medication,2548,19,DX_10_I10,0.21467817896389324
MED_HYDROXYCHLOROQUINE_SULFATE,medication,2541,18,DX_9_7100,0.179456906729634
MED_PREDNISOLONE_ACETATE_1_OPHTH_SUSP,medication,2526,16,DX_9_4019,0.2379255740300871
MED_BACITRACIN_OINTMENT,medication,2526,12,DX_10_I10,0.19398258115597783
PROC_10_3E04305,procedure,2512,25,DX_10_Z5111,0.5302547770700637
MED_DICYCLOMINE,medication,2511,17,DX_10_K219,0.22580645161290322
PROC_9_3607,procedure,2508,25,DX_9_41401,0.9405901116427432
MED_MECLIZINE,medication,2480,19,DX_9_4019,0.27419354838709675
MED_ALBUTEROL_IPRATROPIUM,medication,2448,25,DX_9_4019,0.43504901960784315
PROC_9_3891,procedure,2440,25,DX_9_51881,0.4262295081967213
PROC_9_9915,procedure,2435,25,DX_9_4019,0.3338809034907598
MED_POTASSIUM_CHL_40_MEQ_1000_ML_NS,medication,2435,19,DX_9_4019,0.28254620123203283
MED_BUPROPION_XL_ONCE_DAILY,medication,2431,22,DX_10_F329,0.5466886055121349
MED_FLEET_ENEMA,medication,2401,22,DX_9_4019,0.30987088713036237
MED_CHLORTHALIDONE,medication,2374,17,DX_10_I10,0.3980623420387532
MED_FLUDROCORTISONE_ACETATE,medication,2357,21,DX_10_E785,0.16207042851081885
MED_ZINC_SULFATE,medication,2342,25,DX_10_E785,0.21093082835183605
MED_TERAZOSIN,medication,2311,20,DX_9_4019,0.314582431847685
PROC_9_4516,procedure,2306,25,DX_9_4019,0.33998265394622723
MED_OXCARBAZEPINE,medication,2281,13,DX_9_4019,0.16483998246383166
PROC_10_02H633Z,procedure,2255,25,DX_10_E785,0.3667405764966741
MED_ALENDRONATE_SODIUM,medication,2253,21,DX_9_4019,0.35019973368841545
MED_ENALAPRIL_MALEATE,medication,2225,19,DX_9_4019,0.4755056179775281
PROC_9_3615,procedure,2224,25,DX_9_41401,0.9919064748201439
PROC_10_0W9G3ZZ,procedure,2219,25,DX_10_K766,0.49031095087877424
MED_CEPASTAT_PHENOL_LOZENGE,medication,2216,23,DX_9_4019,0.33664259927797835
MED_MICAFUNGIN,medication,2208,25,DX_10_R6521,0.20606884057971014
MED_SODIUM_CHLORIDE_3_INHALATION_SOLN,medication,2205,25,DX_10_E785,0.36507936507936506
MED_CYCLOPHOSPHAMIDE,medication,2196,18,DX_9_V5811,0.28415300546448086
MED_BENZTROPINE_MESYLATE,medication,2175,13,DX_9_4019,0.16735632183908045
MED_OSELTAMIVIR,medication,2164,22,DX_9_4019,0.19731977818853974
MED_LIDOCAINE_5_OINTMENT,medication,2151,22,DX_10_E785,0.2403533240353324
PROC_9_9904,procedure,2150,19,DX_9_4019,0.3725581395348837
MED_PRENATAL_VITAMINS,medication,2148,4,DX_10_Z370,0.19180633147113593
MED_NITROFURANTOIN_MONOHYD_MACROBID,medication,2135,17,DX_10_N390,0.38688524590163936
MED_POTASSIUM_CITRATE,medication,2128,25,DX_10_E785,0.41353383458646614
PROC_9_3950,procedure,2122,25,DX_9_4019,0.42836946277097077
PROC_10_10D00Z1,procedure,2121,25,DX_10_Z370,0.9533239038189534
PROC_9_5185,procedure,2093,20,DX_9_4019,0.41328236980410893
MED_BUMETANIDE,medication,2078,25,DX_10_E785,0.3734359961501444
PROC_10_02100Z9,procedure,2074,25,DX_10_E785,0.7917068466730954
MED_FILGRASTIM,medication,2073,19,DX_9_E9331,0.3376748673420164
MED_GOLYTELY,medication,2070,23,DX_9_4019,0.24685990338164251
PROC_9_8848,procedure,2046,25,DX_9_4019,0.4833822091886608
MED_DIPHENOXYLATE_ATROPINE,medication,2042,22,DX_9_4019,0.19686581782566112
MED_CHLOROTHIAZIDE_SODIUM,medication,2022,25,DX_10_N179,0.3743818001978239
MED_DIAZEPAM_CIWA_PROTOCOL,medication,2022,22,DX_10_I10,0.3724035608308605
MED_HYOSCYAMINE,medication,2017,25,DX_10_Z515,0.3336638572136837
MED_PHENYTOIN_SODIUM,medication,2012,20,DX_9_4019,0.3658051689860835
PROC_10_009U3ZX,procedure,1999,25,DX_10_I10,0.36368184092046024
PROC_9_734,procedure,1998,15,DX_9_V270,0.9624624624624625
MED_PSYLLIUM_WAFER,medication,1998,13,DX_10_I10,0.18518518518518517
MED_METHYLNALTREXONE,medication,1995,25,DX_10_I10,0.25263157894736843
MED_EMTRICITABINE_TENOFOVIR_TRUVADA,medication,1957,18,DX_9_V08,0.371486969851814
PROC_10_B2111ZZ,procedure,1953,25,DX_10_E785,0.6661546338965694
MED_LIDOCAINE_2,medication,1952,21,DX_10_I10,0.18545081967213115
MED_PYRIDOXINE,medication,1952,13,DX_9_4019,0.17930327868852458
MED_DOPAMINE,medication,1941,25,DX_9_5849,0.31530139103554866
MED_CINACALCET,medication,1936,25,DX_9_5856,0.4659090909090909
MED_DOXERCALCIFEROL,medication,1935,25,DX_9_5856,0.5162790697674419
MED_GENTAMICIN_SULFATE,medication,1932,5,DX_10_Z370,0.17443064182194618
MED_D10W,medication,1926,25,DX_10_E785,0.21651090342679127
PROC_10_0KQM0ZZ,procedure,1916,20,DX_10_Z370,0.982776617954071
MED_PRISMASATE_B32_K2,medication,1913,25,DX_10_E872,0.40460010454783063
MED_FLEET_ENEMA_SALINE,medication,1907,25,DX_10_E785,0.389092815941269
MED_ALBUMIN_25,medication,1905,25,DX_10_Z20822,0.5044619422572179
MED_ETOPOSIDE,medication,1896,19,DX_9_V5811,0.3370253164556962
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5NS,medication,1892,8,DX_9_4019,0.3118393234672304
MED_NYSTATIN_CREAM,medication,1890,25,DX_10_E785,0.2253968253968254
MED_METFORMIN_XR_GLUCOPHAGE_XR,medication,1886,17,DX_10_E785,0.3865323435843054
MED_GLYBURIDE,medication,1881,22,DX_9_25000,0.6220095693779905
MED_VITAMIN_B_COMPLEX,medication,1878,20,DX_10_E785,0.2507987220447284
MED_SUMATRIPTAN_SUCCINATE,medication,1876,13,DX_9_34690,0.26705756929637525
MED_ENOXAPARIN_TREATMENT,medication,1871,25,DX_10_Z7901,0.5109567076429716
MED_OXAZEPAM,medication,1867,5,DX_9_V270,0.16443492233529727
MED_OXYCODONE_ACETAMINOPHEN_ELIXIR,medication,1863,14,DX_9_4019,0.369296833064949
MED_DOXORUBICIN,medication,1863,21,DX_10_Z5111,0.3462157809983897
PROC_10_0DJD8ZZ,procedure,1844,25,DX_10_D62,0.5509761388286334
PROC_10_10907ZC,procedure,1842,25,DX_10_Z370,0.9793702497285559
MED_FOSAPREPITANT,medication,1839,22,DX_10_Z5111,0.32680804785209355
PROC_9_8842,procedure,1816,25,DX_9_4019,0.4972466960352423
PROC_9_7309,procedure,1799,11,DX_9_V270,0.971650917176209
MED_DESMOPRESSIN_ACETATE,medication,1763,25,DX_10_E785,0.18377765173000568
MED_PIPERACILLIN_TAZOBACTAM_NA,medication,1759,25,DX_9_4019,0.3592950540079591
MED_IOHEXOL_240_OMNIPAQUE_240,medication,1744,25,DX_10_I10,0.33371559633027525
MED_CITRATE_DEXTROSE_3_ACD_A_CRRT,medication,1741,25,DX_10_N170,0.38311315336013785
MED_GENTAMICIN,medication,1726,9,DX_9_V270,0.22247972190034762
MED_LACTULOSE_ENEMA,medication,1715,25,DX_10_N179,0.21341107871720116
MED_ROPINIROLE,medication,1710,25,DX_10_G2581,0.30994152046783624
PROC_10_0W9G3ZX,procedure,1708,25,DX_10_K766,0.5275175644028103
MED_VENLAFAXINE,medication,1706,16,DX_9_4019,0.2063305978898007
MED_HYDROCERIN,medication,1705,25,DX_9_5849,0.21935483870967742
MED_LACOSAMIDE,medication,1701,16,DX_10_I10,0.22339800117577896
MED_ARTIFICIAL_TEARS_GEL_1,medication,1699,25,DX_10_E785,0.43790464979399646
MED_TRIAMCINOLONE_ACETONIDE_0_1_CREAM,medication,1689,19,DX_10_E785,0.22972172883362937
MED_NIFEDIPINE_EXTENDED_RELEASE,medication,1685,25,DX_10_E785,0.39584569732937686
MED_DRONABINOL,medication,1685,21,DX_10_Z87891,0.20356083086053411
MED_COSYNTROPIN,medication,1681,25,DX_9_5849,0.18381915526472337
MED_METHOCARBAMOL,medication,1680,13,DX_9_4019,0.16488095238095238
MED_PHENYTOIN_SODIUM_EXTENDED,medication,1679,16,DX_9_4019,0.28171530673019657
MED_CISATRACURIUM_BESYLATE,medication,1678,25,DX_10_E872,0.2526817640047676
MED_CAPHOSOL,medication,1671,25,DX_9_E9331,0.25014961101137045
MED_SYRINGE_CHEMO,medication,1669,18,DX_9_4019,0.19952067106051527
MED_LAMIVUDINE,medication,1665,23,DX_9_V08,0.2084084084084084
PROC_10_5A1935Z,procedure,1659,25,DX_10_E785,0.3405666063893912
MED_HYDROCORTISONE_RECTAL_2_5_CREAM,medication,1648,15,DX_10_E785,0.18021844660194175
MED_NAFCILLIN,medication,1644,24,DX_9_04111,0.3181265206812652
MED_AMOXICILLIN,medication,1640,16,DX_9_4019,0.20548780487804877
MED_HEPARIN_HEMODIALYSIS,medication,1633,25,DX_10_N186,0.6001224739742804
PROC_10_B24BZZ4,procedure,1627,25,DX_10_E785,0.6306084818684696
MED_CHOLESTYRAMINE,medication,1616,18,DX_9_4019,0.1806930693069307
MED_LEUCOVORIN_CALCIUM,medication,1615,17,DX_9_V5811,0.33746130030959753
PROC_10_03HY32Z,procedure,1608,25,DX_10_J9601,0.42350746268656714
MED_HEPARIN_CRRT_MACHINE_PRIMING,medication,1605,25,DX_10_E872,0.4342679127725857
MED_PRAMIPEXOLE,medication,1603,25,DX_10_G2581,0.28820960698689957
MED_METOPROLOL,medication,1602,17,DX_9_4019,0.5024968789013733
PROC_9_3895,procedure,1594,25,DX_9_5856,0.5991217063989962
PROC_9_3491,procedure,1592,25,DX_9_5119,0.5741206030150754
MED_MEMANTINE,medication,1591,25,DX_10_E785,0.2796983029541169
MED_AQUAPHOR_OINTMENT,medication,1572,24,DX_10_E785,0.21119592875318066
PROC_9_7359,procedure,1563,11,DX_9_V270,0.9692898272552783
PROC_10_4A023N7,procedure,1562,25,DX_10_E785,0.647247119078105
MED_FERROUS_GLUCONATE,medication,1558,24,DX_10_E785,0.23684210526315788
MED_AZATHIOPRINE,medication,1558,15,DX_9_4019,0.18998716302952504
MED_GLIPIZIDE_XL,medication,1549,20,DX_9_25000,0.3537766300839251
MED_PRAZOSIN,medication,1544,17,DX_10_F4310,0.3432642487046632
MED_HYDROCORTISONE,medication,1538,18,DX_9_25541,0.1684005201560468
MED_PSYLLIUM_POWDER,medication,1526,25,DX_10_E785,0.41153342070773263
MED_FENOFIBRATE,medication,1525,25,DX_10_E785,0.48721311475409834
PROC_10_3E0436Z,procedure,1518,25,DX_10_E43,0.3326745718050066
MED_VALACYCLOVIR,medication,1517,15,DX_10_E785,0.17996044825313118
PROC_9_3723,procedure,1513,25,DX_9_41401,0.6807666886979511
MED_TICAGRELOR,medication,1507,25,DX_10_E785,0.47976111479761113
MED_BUDESONIDE,medication,1507,18,DX_10_K219,0.2276045122760451
MED_METHOTREXATE,medication,1495,19,DX_10_Z5111,0.28494983277591973
MED_ALTEPLASE,medication,1489,25,DX_10_E785,0.25050369375419745
PROC_9_8162,procedure,1486,23,DX_9_4019,0.40713324360699865
MED_ZONISAMIDE,medication,1481,13,DX_9_34590,0.17150573936529373
MED_GAMMAGARD_LIQUID,medication,1476,14,DX_10_I10,0.1951219512195122
MED_PRISMASATE_B22_K4,medication,1472,25,DX_10_N170,0.3695652173913043
MED_DIVALPROEX_EXTENDED_RELEASE,medication,1464,15,DX_10_E785,0.2069672131147541
MED_METHYLPHENIDATE_RITALIN,medication,1460,15,DX_10_F329,0.1952054794520548
MED_VINCRISTINE_ONCOVIN,medication,1459,20,DX_10_Z5111,0.3303632625085675
MED_HYDROCODONE_ACETAMINOPHEN_5MG_325MG,medication,1458,17,DX_10_E785,0.23731138545953362
PROC_9_8051,procedure,1454,17,DX_9_72210,0.4050894085281981
MED_DORZOLAMIDE_2_OPHTH_SOLN,medication,1448,25,DX_10_H409,0.3238950276243094
PROC_9_3404,procedure,1435,25,DX_9_4019,0.356794425087108
MED_RITONAVIR,medication,1433,15,DX_9_042,0.3872993719469644
PROC_9_5459,procedure,1424,24,DX_9_5680,0.5428370786516854
MED_FILGRASTIM_SNDZ,medication,1417,25,DX_10_T451X5A,0.5137614678899083
PROC_9_5187,procedure,1393,23,DX_9_5762,0.4745154343144293
MED_DEXAMETHASONE_SOD_PHOSPHATE,medication,1388,17,DX_10_Z5111,0.3177233429394813
PROC_10_0W9930Z,procedure,1384,25,DX_10_Z87891,0.36560693641618497
PROC_9_8604,procedure,1383,25,DX_9_4019,0.3470715835140998
MED_ACETAMINOPHEN_W_CODEINE,medication,1373,12,DX_9_4019,0.303714493809177
MED_CLOTRIMAZOLE_CREAM,medication,1366,21,DX_9_4019,0.21669106881405564
MED_NICOTINE_LOZENGE,medication,1362,14,DX_10_F17210,0.461086637298091
MED_TOLTERODINE,medication,1358,22,DX_9_4019,0.3865979381443299
MED_SODIUM_CHLORIDE_3_HYPERTONIC,medication,1349,25,DX_10_I10,0.3380281690140845
MED_EPINEPHRINE_EPIPEN,medication,1339,19,DX_10_Z5111,0.30097087378640774
MED_LITHIUM_CARBONATE,medication,1336,13,DX_9_29680,0.27245508982035926
MED_MUPIROCIN_NASAL_OINTMENT_2,medication,1324,25,DX_9_41401,0.6110271903323263
MED_CYCLOSPORINE_NEORAL_MODIFIED,medication,1324,22,DX_10_N179,0.18806646525679757
MED_PSYLLIUM,medication,1319,25,DX_9_4019,0.4131918119787718
MED_FLEET_ENEMA_MINERAL_OIL,medication,1310,25,DX_10_E785,0.40076335877862596
MED_SOTALOL,medication,1308,23,DX_9_42731,0.40214067278287463
MED_MICONAZOLE_2_CREAM,medication,1284,24,DX_9_4019,0.21417445482866043
MED_DABIGATRAN_ETEXILATE,medication,1270,24,DX_9_42731,0.5133858267716536
PROC_9_8659,procedure,1270,14,DX_9_8730,0.2889763779527559
MED_ROCURONIUM,medication,1259,25,DX_10_J9601,0.3089753772835584
MED_ISOTONIC_SODIUM_CHLORIDE,medication,1258,7,DX_9_V270,0.23767885532591415
MED_ESMOLOL,medication,1255,25,DX_10_I10,0.24541832669322708
PROC_9_0046,procedure,1251,25,DX_9_41401,0.7426059152677857
PROC_9_0041,procedure,1251,25,DX_9_41401,0.5691446842525979
MED_VITAMIN_E,medication,1250,18,DX_9_4019,0.2664
PROC_9_8703,procedure,1244,10,DX_9_4019,0.31109324758842444
PROC_9_4525,procedure,1241,24,DX_9_4019,0.31184528605962936
PROC_9_4523,procedure,1239,25,DX_9_4019,0.40839386602098465
PROC_9_5123,procedure,1235,14,DX_9_57410,0.43562753036437246
PROC_10_5A2204Z,procedure,1234,25,DX_10_E785,0.56645056726094
PROC_10_0DH63UZ,procedure,1221,25,DX_10_I10,0.41932841932841936
PROC_10_06BQ4ZZ,procedure,1216,25,DX_10_E785,0.8026315789473685
MED_HYDROCORTISONE_CREAM_1,medication,1214,12,DX_9_4019,0.16639209225700163
PROC_10_4A023N6,procedure,1212,25,DX_10_E785,0.5528052805280528
PROC_10_0F798DZ,procedure,1210,25,DX_10_K831,0.46859504132231405
MED_CLOTRIMAZOLE,medication,1206,23,DX_9_4019,0.2296849087893864
MED_0_9_SODIUM_CHLORIDE_EXCEL_BAG,medication,1205,25,DX_10_E785,0.4315352697095436
PROC_9_8154,procedure,1199,16,DX_9_71536,0.6488740617180984
MED_RITUXIMAB,medication,1193,19,DX_10_Z5111,0.2673931265716681
PROC_9_3990,procedure,1189,25,DX_9_4019,0.464255677039529
MED_DOBUTAMINE,medication,1189,25,DX_10_R570,0.4188393608074012
MED_KETAMINE,medication,1189,25,DX_10_I10,0.23885618166526493
MED_COLLAGENASE_OINTMENT,medication,1186,25,DX_10_E785,0.2774030354131535
MED_CHLORPROMAZINE,medication,1186,11,DX_9_4019,0.1981450252951096
MED_HYDROXYUREA,medication,1186,21,DX_10_Z87891,0.1821247892074199
PROC_9_8841,procedure,1182,17,DX_9_4019,0.4686971235194585
MED_CLOBETASOL_PROPIONATE_0_05_OINTMENT,medication,1169,16,DX_9_4019,0.20017108639863132
PROC_10_3E033VJ,procedure,1156,25,DX_10_Z370,0.9783737024221453
MED_PHENYTOIN,medication,1156,15,DX_9_4019,0.3884083044982699
MED_VERAPAMIL,medication,1155,17,DX_9_4019,0.3021645021645022
MED_LIDOCAINE_JELLY_2,medication,1146,20,DX_10_E785,0.19197207678883071
MED_CYTARABINE,medication,1140,21,DX_9_V5811,0.3175438596491228
MED_TENOFOVIR_DISOPROXIL_VIREAD,medication,1140,16,DX_9_V08,0.23859649122807017
PROC_9_0390,procedure,1139,21,DX_9_4019,0.4442493415276558
MED_MORPHINE_SULFATE_ORAL_SOLN,medication,1138,25,DX_9_4019,0.36203866432337434
MED_MYCOPHENOLATE_SODIUM_DR,medication,1134,25,DX_10_E785,0.38095238095238093
MED_VALPROIC_ACID,medication,1132,25,DX_10_E785,0.22968197879858657
MED_ALUMINUM_HYDROXIDE_SUSPENSION,medication,1122,25,DX_9_E9331,0.17557932263814616
PROC_9_5188,procedure,1119,19,DX_9_4019,0.44235924932975873
MED_CARBAMAZEPINE,medication,1117,15,DX_9_4019,0.2739480752014324
MED_HYDROCODONE_ACETAMINOPHEN_5MG_500MG,medication,1114,16,DX_9_4019,0.4021543985637343
MED_PANCRELIPASE_5000,medication,1113,25,DX_9_4019,0.2183288409703504
MED_ERYTHROMYCIN,medication,1112,19,DX_9_4019,0.2158273381294964
MED_CLOBETASOL_PROPIONATE_0_05_CREAM,medication,1108,16,DX_9_4019,0.18592057761732853
PROC_9_5732,procedure,1107,14,DX_9_4019,0.3640469738030714
MED_MILRINONE,medication,1105,25,DX_9_4280,0.4099547511312217
MED_ACETAZOLAMIDE_SODIUM,medication,1105,25,DX_9_4019,0.32036199095022627
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5LR,medication,1102,9,DX_9_4019,0.16424682395644283
MED_CALCIUM_REPLACEMENT_ONCOLOGY,medication,1099,25,DX_9_4019,0.3921747042766151
MED_GEMFIBROZIL,medication,1096,23,DX_9_2724,0.38503649635036497
MED_ENTECAVIR,medication,1095,25,DX_10_I10,0.32511415525114157
MED_LEVALBUTEROL_NEB,medication,1094,25,DX_10_E785,0.3290676416819013
MED_MULTIVITAMINS_W_MINERALS_CHEWABLE,medication,1087,25,DX_10_E785,0.3265869365225391
MED_PHENOBARBITAL,medication,1087,21,DX_10_I10,0.1858325666973321
PROC_9_7936,procedure,1085,14,DX_9_4019,0.30046082949308756
MED_METHIMAZOLE,medication,1081,20,DX_10_E785,0.23589269195189638
MED_MESALAMINE_DR,medication,1080,15,DX_9_5569,0.25277777777777777
MED_ACETAZOLAMIDE,medication,1078,25,DX_9_4280,0.2782931354359926
PROC_10_5A1D60Z,procedure,1075,25,DX_10_N186,0.8027906976744186
PROC_9_8838,procedure,1066,7,DX_9_4019,0.24859287054409004
PROC_10_0DB68ZX,procedure,1065,25,DX_10_E785,0.3502347417840376
MED_CAPSAICIN_0_025,medication,1064,25,DX_10_E785,0.29887218045112784
MED_RANITIDINE_LIQUID,medication,1063,18,DX_9_4019,0.2831608654750706
PROC_10_0W9B30Z,procedure,1056,25,DX_10_E785,0.36742424242424243
MED_TRIAMCINOLONE_ACETONIDE_0_1_OINTMENT,medication,1045,21,DX_10_E785,0.22200956937799043
PROC_9_8191,procedure,1044,25,DX_9_4019,0.3611111111111111
PROC_10_027034Z,procedure,1041,25,DX_10_E785,0.6733909702209414
MED_ALBUTEROL_MDI,medication,1040,19,DX_9_4019,0.38076923076923075
MED_EPTIFIBATIDE,medication,1039,23,DX_9_41401,0.8825794032723773
PROC_9_4311,procedure,1037,25,DX_9_4019,0.4783027965284474
MED_DOXEPIN_HCL,medication,1036,16,DX_9_4019,0.20077220077220076
MED_RALTEGRAVIR,medication,1033,19,DX_9_042,0.3543078412391094
MED_AZTREONAM,medication,1031,25,DX_9_4019,0.2812803103782735
MED_KETOCONAZOLE_2,medication,1030,21,DX_10_E785,0.21165048543689322
PROC_9_3734,procedure,1025,23,DX_9_42731,0.6809756097560976
MED_MESNA,medication,1013,14,DX_10_Z5111,0.34945705824284307
MED_NYSTATIN,medication,1001,24,DX_10_E785,0.1958041958041958
PROC_9_8847,procedure,997,25,DX_9_4019,0.42326980942828485
PROC_9_4701,procedure,996,3,DX_9_5409,0.8052208835341366
MED_CALCIUM_GLUCONATE_SLIDING_SCALE_CRITICAL_CARE_IONIZED_CALCIUM,medication,996,25,DX_10_E785,0.392570281124498
PROC_10_3E0P7VZ,procedure,994,25,DX_10_Z370,0.96579476861167
MED_DARUNAVIR,medication,992,17,DX_9_042,0.34375
PROC_9_9920,procedure,989,25,DX_9_41401,0.9251769464105156
MED_SODIUM_CHLORIDE_0_9_FLUSH_FOR_CRRT,medication,983,25,DX_10_E872,0.5971515768056969
PROC_10_0FC98ZZ,procedure,982,25,DX_10_E785,0.42362525458248473
PROC_9_9229,procedure,978,25,DX_9_4019,0.41513292433537835
MED_ALBUTEROL,medication,978,18,DX_9_4019,0.3619631901840491
MED_SODIUM_CITRATE,medication,974,13,DX_9_V270,0.6170431211498973
MED_VALPROATE_SODIUM,medication,974,25,DX_10_I10,0.23203285420944558
MED_SYRINGE_STERILE_WATER,medication,971,25,DX_10_E785,0.27188465499485065
MED_VORICONAZOLE,medication,970,25,DX_9_4019,0.26082474226804125
PROC_10_5A1D90Z,procedure,951,25,DX_10_N170,0.6225026288117771
MED_INSULIN_PUMP_SELF_ADMINISTERING_MEDICATION,medication,950,25,DX_10_Z9641,0.4694736842105263
MED_MANNITOL_20,medication,942,21,DX_9_3485,0.37154989384288745
PROC_10_07DR3ZX,procedure,936,25,DX_10_I10,0.3579059829059829
MED_DOLUTEGRAVIR,medication,935,20,DX_10_Z21,0.5058823529411764
PROC_10_8E0W4CZ,procedure,931,13,DX_10_I10,0.3952738990332975
MED_FLECAINIDE_ACETATE,medication,926,15,DX_9_42731,0.408207343412527
MED_SUCCINYLCHOLINE,medication,923,25,DX_9_51881,0.3380281690140845
PROC_9_8853,procedure,911,24,DX_9_41401,0.743139407244786
MED_MEGESTROL_ACETATE,medication,906,20,DX_9_4019,0.26490066225165565
PROC_9_7779,procedure,905,20,DX_9_4019,0.4320441988950276
PROC_9_4131,procedure,905,25,DX_9_4019,0.37458563535911604
MED_EPINEPHRINE_1_1000,medication,904,25,DX_9_4019,0.2997787610619469
PROC_9_3521,procedure,901,25,DX_9_4241,0.7680355160932297
PROC_9_3606,procedure,891,25,DX_9_41401,0.9405162738496072
PROC_9_9962,procedure,883,25,DX_9_42731,0.8221970554926388
MED_MESALAMINE,medication,882,12,DX_9_5559,0.2777777777777778
MED_SIROLIMUS,medication,880,25,DX_9_4019,0.29772727272727273
MED_DAPSONE,medication,877,17,DX_9_042,0.19156214367160776
PROC_9_8451,procedure,873,20,DX_9_4019,0.35738831615120276
PROC_10_0FT44ZZ,procedure,871,19,DX_10_I10,0.42824339839265213
PROC_9_8622,procedure,868,25,DX_9_4019,0.37672811059907835
MED_SALMETEROL_XINAFOATE_DISKUS_50_MCG,medication,864,23,DX_10_Z87891,0.2662037037037037
MED_DEXAMETHASONE_SOD_PHOS,medication,860,25,DX_10_Z5111,0.40348837209302324
PROC_9_3721,procedure,858,25,DX_9_4280,0.6177156177156177
PROC_9_3612,procedure,857,25,DX_9_41401,0.9918319719953326
PROC_9_8628,procedure,857,25,DX_9_4019,0.3780630105017503
